 | 1    | Charizard-Mega-X   | 10.59320% | 49616  | 10.593% | 18482  | 24.242% |
 | 2    | Charizard-Mega-Y   |  8.86403% | 41517  |  8.864% | 15196  | 19.932% |
 | 3    | Kyurem-Black       |  8.26259% | 38700  |  8.263% | 13293  | 17.436% |
 | 4    | Lopunny-Mega       |  6.42262% | 30082  |  6.423% | 11115  | 14.579% |
 | 5    | Greninja           |  5.58205% | 26145  |  5.582% | 9610   | 12.605% |
 | 6    | Dragonite          |  5.64418% | 26436  |  5.644% | 9409   | 12.341% |
 | 7    | Mawile-Mega        |  6.10578% | 28598  |  6.106% | 9387   | 12.313% |
 | 8    | Porygon-Z          |  4.48763% | 21019  |  4.488% | 7875   | 10.329% |
 | 9    | Smeargle           |  3.78371% | 17722  |  3.784% | 7548   |  9.900% |
 | 10   | Sableye-Mega       |  4.31320% | 20202  |  4.313% | 7237   |  9.493% |
 | 11   | Gyarados-Mega      |  4.23271% | 19825  |  4.233% | 6713   |  8.805% |
 | 12   | Gardevoir-Mega     |  4.32452% | 20255  |  4.325% | 6680   |  8.762% |
 | 13   | Garchomp           |  3.99252% | 18700  |  3.993% | 6614   |  8.675% |
 | 14   | Jirachi            |  3.95750% | 18536  |  3.958% | 6368   |  8.353% |
 | 15   | Alakazam-Mega      |  3.88641% | 18203  |  3.886% | 6358   |  8.340% |
 | 16   | Heracross-Mega     |  3.82577% | 17919  |  3.826% | 5812   |  7.623% |
 | 17   | Aron               |  2.82679% | 13240  |  2.827% | 5744   |  7.534% |
 | 18   | Gengar-Mega        |  3.12484% | 14636  |  3.125% | 5325   |  6.985% |
 | 19   | Whimsicott         |  3.14875% | 14748  |  3.149% | 4979   |  6.531% |
 | 20   | Venusaur-Mega      |  3.47862% | 16293  |  3.479% | 4738   |  6.215% |
 | 21   | Breloom            |  3.40923% | 15968  |  3.409% | 4581   |  6.009% |
 | 22   | Togekiss           |  2.40021% | 11242  |  2.400% | 4557   |  5.977% |
 | 23   | Aegislash          |  2.58254% | 12096  |  2.583% | 4500   |  5.902% |
 | 24   | Blastoise-Mega     |  2.32420% | 10886  |  2.324% | 4063   |  5.329% |
 | 25   | Azumarill          |  2.52319% | 11818  |  2.523% | 4026   |  5.281% |
 | 26   | Volcanion          |  2.41601% | 11316  |  2.416% | 4019   |  5.272% |
 | 27   | Victini            |  2.10942% | 9880   |  2.109% | 3910   |  5.129% |
 | 28   | Metagross-Mega     |  2.52041% | 11805  |  2.520% | 3853   |  5.054% |
 | 29   | Medicham-Mega      |  2.22791% | 10435  |  2.228% | 3815   |  5.004% |
 | 30   | Diancie-Mega       |  2.51315% | 11771  |  2.513% | 3800   |  4.984% |
 | 31   | Lucario-Mega       |  2.15468% | 10092  |  2.155% | 3742   |  4.908% |
 | 32   | Talonflame         |  2.59471% | 12153  |  2.595% | 3705   |  4.860% |
 | 33   | Aggron-Mega        |  1.98131% | 9280   |  1.981% | 3572   |  4.685% |
 | 34   | Ferrothorn         |  2.35473% | 11029  |  2.355% | 3449   |  4.524% |
 | 35   | Manaphy            |  2.00928% | 9411   |  2.009% | 3330   |  4.368% |
 | 36   | Golem              |  1.66191% | 7784   |  1.662% | 3232   |  4.239% |
 | 37   | Magnezone          |  1.94267% | 9099   |  1.943% | 3129   |  4.104% |
 | 38   | Shuckle            |  1.66981% | 7821   |  1.670% | 3077   |  4.036% |
 | 39   | Machamp            |  1.66383% | 7793   |  1.664% | 3060   |  4.014% |
 | 40   | Pinsir-Mega        |  1.89378% | 8870   |  1.894% | 3007   |  3.944% |
 | 41   | Gallade-Mega       |  1.66896% | 7817   |  1.669% | 2987   |  3.918% |
 | 42   | Magnemite          |  1.61131% | 7547   |  1.611% | 2983   |  3.913% |
 | 43   | Slowbro-Mega       |  2.03917% | 9551   |  2.039% | 2969   |  3.894% |
 | 44   | Gliscor            |  1.91620% | 8975   |  1.916% | 2715   |  3.561% |
 | 45   | Garchomp-Mega      |  1.58099% | 7405   |  1.581% | 2683   |  3.519% |
 | 46   | Genesect           |  1.53338% | 7182   |  1.533% | 2639   |  3.461% |
 | 47   | Slaking            |  1.28380% | 6013   |  1.284% | 2574   |  3.376% |
 | 48   | Sawk               |  1.38222% | 6474   |  1.382% | 2565   |  3.364% |
 | 49   | Chansey            |  1.92602% | 9021   |  1.926% | 2471   |  3.241% |
 | 50   | Serperior          |  1.81350% | 8494   |  1.814% | 2405   |  3.155% |
 | 51   | Scizor-Mega        |  1.65017% | 7729   |  1.650% | 2326   |  3.051% |
 | 52   | Snorlax            |  1.23362% | 5778   |  1.234% | 2326   |  3.051% |
 | 53   | Gengar             |  1.50670% | 7057   |  1.507% | 2322   |  3.046% |
 | 54   | Sylveon            |  1.36343% | 6386   |  1.363% | 2303   |  3.021% |
 | 55   | Ditto              |  1.09954% | 5150   |  1.100% | 2274   |  2.983% |
 | 56   | Deoxys-Defense     |  1.33098% | 6234   |  1.331% | 2262   |  2.967% |
 | 57   | Donphan            |  1.14929% | 5383   |  1.149% | 2225   |  2.918% |
 | 58   | Mew                |  1.15014% | 5387   |  1.150% | 2216   |  2.907% |
 | 59   | Hitmonlee          |  1.22701% | 5747   |  1.227% | 2173   |  2.850% |
 | 60   | Darmanitan         |  1.17982% | 5526   |  1.180% | 2143   |  2.811% |
 | 61   | Meloetta           |  1.36215% | 6380   |  1.362% | 2121   |  2.782% |
 | 62   | Swampert-Mega      |  1.30985% | 6135   |  1.310% | 2109   |  2.766% |
 | 63   | Altaria-Mega       |  1.28422% | 6015   |  1.284% | 2093   |  2.745% |
 | 64   | Shedinja           |  1.40464% | 6579   |  1.405% | 2047   |  2.685% |
 | 65   | Cinccino           |  1.15548% | 5412   |  1.155% | 2045   |  2.682% |
 | 66   | Cloyster           |  1.14737% | 5374   |  1.147% | 1912   |  2.508% |
 | 67   | Clefable           |  1.16189% | 5442   |  1.162% | 1735   |  2.276% |
 | 68   | Sceptile-Mega      |  1.20395% | 5639   |  1.204% | 1676   |  2.198% |
 | 69   | Haxorus            |  0.87174% | 4083   |  0.872% | 1674   |  2.196% |
 | 70   | Swampert           |  0.86618% | 4057   |  0.866% | 1672   |  2.193% |
 | 71   | Wobbuffet          |  0.84825% | 3973   |  0.848% | 1637   |  2.147% |
 | 72   | Ambipom            |  0.86661% | 4059   |  0.867% | 1599   |  2.097% |
 | 73   | Aggron             |  0.78783% | 3690   |  0.788% | 1579   |  2.071% |
 | 74   | Sableye            |  0.98062% | 4593   |  0.981% | 1576   |  2.067% |
 | 75   | Ampharos-Mega      |  0.84056% | 3937   |  0.841% | 1551   |  2.034% |
